Data/supervivencia.txt

Genotype	Treatment	Sucrose	Sorbitol	Ascorbic_Acid	futime	fustat
MU51	1	20	0	0	240	1
MU51	1	20	0	0	330	1
MU51	1	20	0	0	330	1
MU51	1	20	0	0	330	1
MU51	1	20	0	0	330	1
MU51	1	20	0	0	330	1
MU51	1	20	0	0	360	1
MU51	1	20	0	0	360	1
MU51	1	20	0	0	390	1
MU51	1	20	0	0	390	1
MU51	1	20	0	0	420	1
MU51	1	20	0	0	420	1
MU51	2	20	20	0	300	1
MU51	2	20	20	0	300	1
MU51	2	20	20	0	300	1
MU51	2	20	20	0	300	1
MU51	2	20	20	0	360	1
MU51	2	20	20	0	450	1
MU51	2	20	20	0	480	1
MU51	2	20	20	0	510	1
MU51	2	20	20	0	510	0
MU51	2	20	20	0	510	0
MU51	2	20	20	0	510	0
MU51	2	20	20	0	510	0
MU51	3	20	40	0	360	1
MU51	3	20	40	0	420	1
MU51	3	20	40	0	450	1
MU51	3	20	40	0	480	1
MU51	3	20	40	0	510	1
MU51	3	20	40	0	510	1
MU51	3	20	40	0	510	1
MU51	3	20	40	0	510	0
MU51	3	20	40	0	510	0
MU51	3	20	40	0	510	0
MU51	3	20	40	0	510	0
MU51	3	20	40	0	510	0
MU51	4	20	0	100	330	1
MU51	4	20	0	100	330	1
MU51	4	20	0	100	360	1
MU51	4	20	0	100	360	1
MU51	4	20	0	100	390	1
MU51	4	20	0	100	420	1
MU51	4	20	0	100	450	1
MU51	4	20	0	100	480	1
MU51	4	20	0	100	510	1
MU51	4	20	0	100	510	1
MU51	4	20	0	100	510	0
MU51	4	20	0	100	510	0
MU51	5	20	20	100	360	1
MU51	5	20	20	100	360	1
MU51	5	20	20	100	360	1
MU51	5	20	20	100	420	1
MU51	5	20	20	100	420	1
MU51	5	20	20	100	420	1
MU51	5	20	20	100	450	1
MU51	5	20	20	100	480	1
MU51	5	20	20	100	480	1
MU51	5	20	20	100	510	1
MU51	5	20	20	100	510	0
MU51	5	20	20	100	510	0
MU51	6	20	40	100	330	1
MU51	6	20	40	100	360	1
MU51	6	20	40	100	450	1
MU51	6	20	40	100	450	1
MU51	6	20	40	100	480	1
MU51	6	20	40	100	510	1
MU51	6	20	40	100	510	0
MU51	6	20	40	100	510	0
MU51	6	20	40	100	510	0
MU51	6	20	40	100	510	0
MU51	6	20	40	100	510	0
MU51	6	20	40	100	510	0
MU51	7	40	0	0	270	1
MU51	7	40	0	0	330	1
MU51	7	40	0	0	360	1
MU51	7	40	0	0	360	1
MU51	7	40	0	0	450	1
MU51	7	40	0	0	450	1
MU51	7	40	0	0	450	1
MU51	7	40	0	0	480	1
MU51	7	40	0	0	510	1
MU51	7	40	0	0	510	0
MU51	7	40	0	0	510	0
MU51	7	40	0	0	510	0
MU51	8	40	20	0	270	1
MU51	8	40	20	0	330	1
MU51	8	40	20	0	330	1
MU51	8	40	20	0	360	1
MU51	8	40	20	0	360	1
MU51	8	40	20	0	390	1
MU51	8	40	20	0	390	1
MU51	8	40	20	0	510	0
MU51	8	40	20	0	510	0
